Tweet,Country,Topic,Sentiment,Sentiment_Expression,Sentiment_Target
"""أنا أؤمن بأن الانسان ينطفئ جماله عند ابتعاد من يحب ، حتى بريق العيون يختفي فيصبح ذابلاً منطفئًا، يتحول ربيعه الى خريف."". @gbraniiat",lebanon,personal,negative,implicit,بريق العيون
من الذاكره... @3FInQe . عندما اعتقد كريستيانو انه ثاني افضل لاعب في العالم بعد كاكا و ميسي ثالثاً ثم حدث العكس 😂😂😂😂😂😂 https://t.co/n3EZ0pX0X7,jordan,sports,positive,explicit,افضل لاعب في العالم
"#مصطلحات_لبنانيه_حيرت_البشريه بتوصل عالبيت ، بنط واحد بقلك ""جيت؟"" , بتقعد لتتحدث معو بقلك ""شو في ما في؟""، بتقوم لتمشي بقلك ""ناسي شي؟"" 🤔",lebanon,personal,negative,explicit,مصطلحات_لبنانيه
"نصمت !! لتسير حياتنا على مً يرام فالناّس لم تعد كما كآنت . "" نقيه """,palestine,personal,negative,explicit,س لم تعد كما ك
@Yousef_MUFC اكثر ما يزعجنا بعد مستوانا خارج ارضنا . هو تمثيل كونتي بعد فوزه علينا,jordan,sports,negative,explicit,مستوانا خارج ارضنا
شو حلو الشعور لما تحاول تدرس شي مش فاهمو بالصف و الدكتور ما خصو بشي اسمو شرح و تفهم كل شي لحالك انو بلا جميلتك دكتور 😌,lebanon,personal,positive,explicit,تدرس شي مش فاهمو بالصف
قيل لحمدون بن أحمد رحمه الله:. ما بال كلام السلف أنفع من كلامنا ؟. قال: لأنهم تكلموا لعز الإسلام ، ونجاة النفوس ، ورض… https://t.co/9ujgGIVlN3,syria,religions,positive,explicit, السلف
#الاردن_يتقدم. الحكومة الاردنية تعلن اطلاق مشروع المدينة الجديدة .. نتمى ان يكون التنفيذ على افضل ما يكون . https://t.co/7oatmRoykH,jordan,politics,positive,explicit,اطلاق مشروع المدينة الجديدة
سيبك من معادلات الرياضة والحاجات اللي ملهاش لزمة في حياتناممكن اعملكم معادلة تبين قد اي وجود حدفي حياتك بيحسن نفسيتك ويزود كفائتك بنسبة كام,palestine,personal,positive,explicit,وجود حدفي حياتك بيحسن نفسيتك
@cnnarabic يارب اطفا نار الفتنة / انتبهوا ولا تعيدوا خطا الحرب العراقية الإيرانية /هذه سياسة كلما تظهر قوى في الم… https://t.co/CVnKwvbEdc,syria,politics,negative,explicit,الحرب العراقية الإيرانية
